element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
518,4,5,1,True,2025-08-17T13:00:00Z,3,1,1,False,11,0,0,0,0,0,0,0,0,0,0,0,6,5.0,0.5,4.0,1.0,1,0,2,3,0,0.00,0.00,0.00,0.00,55,0,8787,0,0
518,15,8,0,False,2025-08-24T13:00:00Z,1,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-1087,9953,349,1436
518,27,19,0,True,2025-08-31T13:00:00Z,,,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-1163,9915,385,1548
